First name,Last name,Gender,Email,Salary,Department,Position,Job title,Company
Kate,Summer,Female,ksummer@TechInnovators.com,20000.00,Mathematics,Principal,Principal,TechInnovators
Ken,Winter,Male,kwinter@TechInnovators.com,15000.00,Sciences,Vice-Principal,Vice-Principal (Sciences),TechInnovators
James,Anderson,Male,janderson@TechInnovators.com,80000.00,Languages,Head of Department,Head of Languages,TechInnovators
Sarah,Johnson,Female,sjohnson@CodeSolutions.com,3500.50,Arts,Principal,Principal,TechInnovators
John,Smith,Male,jsmith@DataVision.com,48000.00,IT,Vice-Principal,Vice-Principal (IT),DataVision
Emily,Brown,Female,ebrown@Infinisoft.com,2700.75,Mathematics,Head of Department,Head of Mathematics,DataVision
Michael,Williams,Male,mwilliams@DevsUnited.com,5500.30,Sciences,Principal,Principal,DevsUnited
Sophia,Taylor,Female,staylor@Netwise.com,4400.20,Languages,Vice-Principal,Vice-Principal (Languages),DevsUnited
David,Wilson,Male,dwilson@TechWorks.com,51000.00,Arts,Head of Department,Head of Arts,DevsUnited
Olivia,Martinez,Female,omartinez@SysDevelopers.com,3200.45,IT,Principal,Principal,DevsUnited
Ethan,Anderson,Male,eanderson@InfoSphere.com,6200.00,Mathematics,Vice-Principal,Vice-Principal (Mathematics),InfoSphere
Mia,Clark,Female,mclark@ByteWare.com,4800.35,Sciences,Head of Department,Head of Sciences,ByteWare
John,Anderson,Male,janderson@TechInnovators.com,60000.00,Languages,Principal,Principal,TechInnovators
Sam,Johnson,Female,sjohnson@TechInnovators.com,3500.50,Arts,Vice-Principal,Vice-Principal (Arts),TechInnovators
John,Brown,Male,jbrown@TechInnovators.com,9000.00,IT,Head of Department,Head of IT,TechInnovators
Emma,Brown,Female,ebrown@TechInnovators.com,2200.75,Mathematics,Principal,Principal,TechInnovators
Max,Williams,Male,mwilliams@CodeSolutions.com,5200.30,Sciences,Vice-Principal,Vice-Principal (Sciences),CodeSolutions
Sonya,Taylor,Female,staylor@CodeSolutions.com,4200.20,Languages,Head of Department,Head of Languages,CodeSolutions
Denis,Wilson,Male,dwilson@CodeSolutions.com,61000.00,Arts,Principal,Principal,CodeSolutions
Olga,Martinez,Female,omartinez@CodeSolutions.com,3300.45,IT,Vice-Principal,Vice-Principal (IT),CodeSolutions
Ed,Anderson,Male,eanderson@InfoSphere.com,6200.00,Mathematics,Head of Department,Head of Mathematics,InfoSphere
Milla,Clark,Female,mclark@InfoSphere.com,4900.35,Sciences,Principal,Principal,InfoSphere
Sophia,Lopez,Female,slopez@InfoSphere.com,2200.00,Languages,Vice-Principal,Vice-Principal (Languages),InfoSphere
Benjamin,Hill,Male,bhill@InfoSphere.com,27000.00,Arts,Head of Department,Head of Arts,InfoSphere
Jessica,Lee,Female,jlee@TechInnovators.com,70000.00,IT,Principal,Principal,TechInnovators
Daniel,Walker,Male,dfowler@TechInnovators.com,5300.20,Mathematics,Vice-Principal,Vice-Principal (Mathematics),TechInnovators
Eleanor,Harris,Female,eharris@TechInnovators.com,3100.75,Sciences,Head of Department,Head of Sciences,TechInnovators
Chris,Evans,Male,cevans@CodeSolutions.com,2200.50,Languages,Principal,Principal,CodeSolutions
Alex,Turner,Male,aturner@DataVision.com,4800.40,Arts,Vice-Principal,Vice-Principal (Arts),DataVision
Nina,Holmes,Female,nholmes@DevsUnited.com,3300.65,IT,Head of Department,Head of IT,DevsUnited
Victor,Stewart,Male,vstewart@Infinisoft.com,5500.80,Mathematics,Principal,Principal,Infinisoft
Lucy,Bennett,Female,lbennett@Netwise.com,2700.45,Sciences,Vice-Principal,Vice-Principal (Sciences),Netwise
Oscar,Reed,Male,oreed@SysDevelopers.com,4400.35,Languages,Head of Department,Head of Languages,SysDevelopers
Lana,Parker,Female,lparker@InfoSphere.com,6200.00,Arts,Principal,Principal,InfoSphere
Harry,Cooper,Male,hcooper@ByteWare.com,5100.90,IT,Vice-Principal,Vice-Principal (IT),ByteWare
Isla,Fisher,Female,ifisher@TechWorks.com,4100.60,Mathematics,Head of Department,Head of Mathematics,TechWorks
Leo,Wright,Male,lwright@DataVision.com,8000.25,Sciences,Principal,Principal,DataVision
Eva,Mitchell,Female,emitchell@CodeSolutions.com,2500.45,Languages,Vice-Principal,Vice-Principal (Languages),CodeSolutions
Ryan,Carter,Male,rcarter@DevsUnited.com,5200.80,Arts,Head of Department,Head of Arts,DevsUnited
Holly,Brooks,Female,hbrooks@InfoSphere.com,2800.35,IT,Principal,Principal,InfoSphere
Daniel,Gray,Male,dgray@TechInnovators.com,3500.60,Mathematics,Vice-Principal,Vice-Principal (Mathematics),TechInnovators
Layla,Jones,Female,ljones@SysDevelopers.com,1400.50,Sciences,Head of Department,Head of Sciences,SysDevelopers
Sebastian,Morgan,Male,smorgan@Infinisoft.com,2900.40,Languages,Principal,Principal,Infinisoft
Elena,Scott,Female,escott@DevsUnited.com,4600.30,Arts,Vice-Principal,Vice-Principal (Arts),DevsUnited
Finn,Walker,Male,fwalker@ByteWare.com,2200.45,IT,Head of Department,Head of IT,ByteWare
Amelia,King,Female,aking@TechWorks.com,5200.60,Mathematics,Principal,Principal,TechWorks
